Trace,Policy,Cores,Size,Ways,IPC,Cycles,L1_Miss_Rate,L2_Miss_Rate,LLC_Miss_Rate,LLC_Hit_Rate,LLC_MPKI,LLC_Writes
401.bzip2-38B.champsimtrace.xz,mru,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,2MB,8way,2.739379,11354824,0.06620713493539095,0.21844313566438361,0.5928307079142152,0.4071692920857848,2.4989,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,random,1core,1MB,16way,2.768497,11197568,0.06615538244289676,0.21637276575326034,0.5287725009574875,0.47122749904251243,2.209,3912
401.bzip2-38B.champsimtrace.xz,random,1core,2MB,16way,2.897292,10642762,0.06601988115818605,0.21637029378330982,0.4458540788969743,0.5541459211030256,1.8626,3912
401.bzip2-38B.champsimtrace.xz,random,1core,2MB,8way,2.761384,11225147,0.0661657641023099,0.22215113588977556,0.5191912108461898,0.4808087891538102,2.2211,3901
401.bzip2-38B.champsimtrace.xz,random,1core,4MB,16way,2.89737,10643106,0.06601721314579242,0.21977984313680687,0.4399669304358096,0.5600330695641904,1.8626,3874
401.bzip2-38B.champsimtrace.xz,random,1core,8MB,16way,2.89518,10651900,0.06602289523257499,0.2165689869874673,0.445363684185357,0.554636315814643,1.8626,3924
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,3.5562700000000005,8555138,0.7445949897944725,0.31584876348655716,0.003346488944258168,0.9966535110557418,0.2063,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,3.55469,8558870,0.7446365227511537,0.31584876348655716,0.003768247124339178,0.9962317528756608,0.2323,305807
